Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
16-02-03_00,-6.9,0.9,-3.5,0.0,145.0,3.0
16-02-04_00,-5.6,8.6,1.7,0.0,123.0,3.0
16-02-05_00,0.9,8.9,4.0,0.0,266.0,4.0
16-02-06_00,-5.9,0.4,-3.5,0.0,218.0,3.0
16-02-07_00,-4.1,1.4,-1.6,0.0,231.0,2.0
16-02-08_00,-9.0,1.5,-4.8,0.0,143.0,4.0
16-02-09_00,-9.1,-5.8,-7.4,0.0,70.0,4.0
16-02-10_00,-8.6,-5.3,-7.1,0.0,66.0,3.0
16-02-11_00,-7.0,-4.5,-5.8,0.0,188.0,2.0
16-02-12_00,-17.6,-5.6,-12.7,0.0,278.0,4.0
16-02-13_00,-18.1,-6.3,-12.6,0.0,206.0,3.0
