Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
15-02-06_00,-16.6,-6.5,-12.6,0.0,287.0,3.0
15-02-07_00,-18.4,-9.0,-13.6,0.0,207.0,3.0
15-02-08_00,-14.3,-11.0,-12.8,0.0,215.0,2.0
15-02-09_00,-18.8,-13.8,-16.1,0.0,61.0,5.0
15-02-10_00,-15.7,-10.6,-13.7,0.0,82.0,4.0
15-02-11_00,-11.5,-5.8,-9.0,0.0,235.0,2.0
15-02-12_00,-17.3,-10.8,-13.3,0.0,85.0,3.0
15-02-13_00,-16.3,-7.5,-11.0,0.0,257.0,3.0
15-02-14_00,-23.5,-16.3,-20.5,0.0,276.0,4.0
15-02-15_00,-20.5,-13.1,-16.8,0.0,103.0,3.0
15-02-16_00,-21.3,-13.2,-17.7,0.0,246.0,5.0
15-02-17_00,-22.8,-16.0,-19.4,0.0,271.0,5.0
15-02-18_00,-18.9,-12.5,-15.5,0.0,119.0,2.0
15-02-19_00,-15.8,-7.8,-11.5,0.0,123.0,2.0
15-02-20_00,-17.9,-8.0,-12.6,0.0,264.0,5.0
15-02-21_00,-19.5,-14.2,-16.9,0.0,263.0,7.0
15-02-22_00,-15.5,-7.1,-11.2,0.0,165.0,3.0
15-02-23_00,-8.3,-3.2,-5.5,0.0,210.0,3.0
15-02-24_00,-20.9,-5.6,-18.0,0.0,279.0,5.0
15-02-25_00,-20.7,-8.5,-15.1,0.0,174.0,4.0
15-02-26_00,-13.8,-5.2,-8.7,0.0,234.0,4.0
15-02-27_00,-16.4,-12.4,-14.2,0.0,206.0,2.0
15-02-28_00,-16.0,-9.4,-12.7,0.0,267.0,4.0
15-03-01_00,-14.8,-5.7,-10.2,0.0,252.0,4.0
15-03-02_00,-10.2,-2.9,-6.9,0.0,189.0,3.0
15-03-03_00,-8.6,-3.4,-5.6,0.0,279.0,4.0
15-03-04_00,-10.2,-4.0,-7.3,0.0,181.0,3.0
15-03-05_00,-4.3,1.8,-1.1,0.0,262.0,5.0
